objectid,filename,title,performers,instrumentation,piece_title,festival,date,semester,institution,venue,location,latitude,longitude,physical_format_description,physical dimensions,number_of_pages,format,,,,,,,,,,,
program001_kennedy,program001_kennedy.pdf,Honoring the Retirement of Daniel Kennedy,"Sac State Gamelan Club, Sac State Percussion Group",gamelan,Willamette Jubilee,,2019-10-06,Fall 2019,"California State University, Sacramento",Capistrano Concert Hall,"Sacramento, California",38.563940,-121.425720,folded booklet with loose insert,8.5in x 5.5in,8pp,application/pdf,,,,,,,,,,,
program002_citywater,program002_citywater.pdf,"Jennifer Ellis, harp, with Members of Citywater:  Music by Students and Alumni","Jennifer R. Ellis, Ben Prima","harp, vibraphone",Hush,"40th Annual Festival of New American Music, 2017",2017-11-04,Fall 2017,"California State University, Sacramento",Capistrano Hall 151,"Sacramento, California",38.563940,-121.425720,folded booklet with loose insert,8.5in x 5.5in,11pp,application/pdf,,,,,,,,,,,
program0003_comp18,program003_fenam_comp18.pdf,Student Composers Performance Competition,"Eric Wombaugh, Eva Ruiz, Kathryn Edom","darabukka, djembe, cajón",No Stix,"41st Annual Festival of New American Music, 2018",2018-11-10,Fall 2018,"California State University, Sacramento",Capistrano Hall 151,"Sacramento, California",38.563940,-121.425720,folded booklet with loose insert,8.5in x 5.5in,2pp,application/pdf,,,,,,,,,,,
program004_fenam_comp17,program004_fenam_comp17.pdf,Student Composers Performance Competition,"Emily Mader, Marcos Torres","harp, vibraphone",Hush,"40th Annual Festival of New American Music, 2017",2017-11-09,Fall 2017,"California State University, Sacramento",Capistrano Hall 151,"Sacramento, California",38.563940,-121.425720,folded booklet with loose insert,8.5in x 5.5in,2pp,application/pdf,,,,,,,,,,,
program005_heritage,program005_heritage.pdf,Heritage Student Composition Recital,Corbin Weiss,cello,"Heritage Suite, II. German Dances",,2019-05-02,Spring 2019,"California State University, Sacramento",Capistrano Hall 151,"Sacramento, California",38.563940,-121.425720,loose leaves,8.5in x 11in,4pp,application/pdf,,,,,,,,,,,
program006_grad_recital,program006_grad_recital.pdf,Kathryn Edom Graduate Composition Recital,,,,,2021-06-18,Spring 2021,University of Oregon,World Wide Web,"Eugene, Oregon",44.042530,-123.081380,loose leaves,8.5in x 11in,4pp,application/pdf,,,,,,,,,,,
program007_lchs22,program007_lchs22.pdf,Laguna Creek Bands Spring Concert 2022,LCHS Symphonic Wind Ensemble,band,The Road is Long,,2022-05-09,Spring 2022,Laguna Creek High School,Laguna Creek High School Gym,"Elk Grove, California",38.428820,-121.429300,loose leaves,8.5in x 11in,1pp,application/pdf,,,,,,,,,,,
program008_lchs19,program008_lchs19.pdf,Winter Concert,LCHS Symphonic Wind Ensemble,band,Imanu'el,,2019-12-10,Fall 2019,Laguna Creek High School,Cosumnes Oaks High School Performing Arts Center,"Elk Grove, California",38.401119,-121.396942,folded booklet with loose insert,8.5in x 5.5in,6pp,application/pdf,,,,,,,,,,,
program009_northwest19,program009_northwest19.pdf,Northwest Percussion Festival Sacramento State University,,,Room 113,"Northwest Percussion Festival, 2019","2019-04-05, 2019-04-06, 2019-04-07",Spring 2019,,"Fine Arts Auditorium, Student Union Building","Twin Falls, Idaho",42.57790,-114.474937,stapled booklet,8.5in x 5.5in,17pp,application/pdf,,,,,,,,,,,
program010_obfcs_flute,program010_obfcs_flute.pdf,Performers Showcase Concert III,"Alexis Evers, Molly Barth","alto flute, flute","Tradewinds, III. Shaanti (Peace), V. Kokopelli's Flute","Oregon Bach Festival Composers Symposium, 2018",2018-07-06,Summer 2018,University of Oregon,Aasen-Hull Hall,"Eugene, Oregon",44.040070,-123.078117,folded booklet,8.5in x 5.5in,4pp,application/pdf,,,,,,,,,,,
